ukprn,university,kiscourseid,title,crseurl
10007143,Durham University,B991,Health and Human Sciences,https://www.durham.ac.uk/study/courses/b991/
10007143,Durham University,C103,Biological Sciences,https://www.durham.ac.uk/study/courses/c103/
10007143,Durham University,C104,Biological Sciences,https://www.durham.ac.uk/study/courses/c104/
10007143,Durham University,C107,Biosciences,https://www.durham.ac.uk/study/courses/c107/
10007143,Durham University,C603,"Sport, Exercise and Physical Activity",https://www.durham.ac.uk/study/courses/c603/
10007143,Durham University,C604,"Sport, Exercise and Physical Activity",https://www.durham.ac.uk/study/courses/c604/
10007143,Durham University,C606,Sport and Exercise Sciences,https://www.durham.ac.uk/study/courses/c606/
10007143,Durham University,C702,Biochemistry,https://www.durham.ac.uk/study/courses/c702/
10007143,Durham University,C800,Psychology,https://www.durham.ac.uk/study/courses/c800/
10007143,Durham University,C807,Psychological and Behavioural Science,https://www.durham.ac.uk/study/courses/c807/
10007143,Durham University,C811,Psychological and Behavioural Science,https://www.durham.ac.uk/study/courses/c819/
10007143,Durham University,C819,Psychology,https://www.durham.ac.uk/study/courses/c819/
10007143,Durham University,CFG0,Natural Sciences,https://www.durham.ac.uk/study/courses/cfg0/
10007143,Durham University,CL86,Psychology and Anthropology,https://www.durham.ac.uk/study/courses/cl86/
10007143,Durham University,CV85,Philosophy and Psychology,https://www.durham.ac.uk/study/courses/cv85/
10007143,Durham University,F100,Chemistry,https://www.durham.ac.uk/study/courses/f100/
10007143,Durham University,F102,Chemistry (International Route),https://www.durham.ac.uk/study/courses/f102/
10007143,Durham University,F105,Chemistry,https://www.durham.ac.uk/study/courses/f105/
10007143,Durham University,F111,Chemistry (Industrial Route),https://www.durham.ac.uk/study/courses/f111/
10007143,Durham University,F300,Physics,https://www.durham.ac.uk/study/courses/f300/
10007143,Durham University,F301,Physics,https://www.durham.ac.uk/study/courses/f301/
10007143,Durham University,F344,Theoretical Physics,https://www.durham.ac.uk/study/courses/f344/
10007143,Durham University,F400,Archaeology,https://www.durham.ac.uk/study/courses/f400/
10007143,Durham University,F402,Archaeology,https://www.durham.ac.uk/study/courses/f402/
10007143,Durham University,F403,Archaeology,https://www.durham.ac.uk/study/courses/f403/
10007143,Durham University,F600,Geology,https://www.durham.ac.uk/study/courses/f600/
10007143,Durham University,F630,Environmental Geoscience,https://www.durham.ac.uk/study/courses/f630/
10007143,Durham University,F643,Geoscience,https://www.durham.ac.uk/study/courses/f643/
10007143,Durham University,F644,Earth Sciences,https://www.durham.ac.uk/study/courses/f644/
10007143,Durham University,F645,Climate Science,https://www.durham.ac.uk/study/courses/f645/
10007143,Durham University,F665,Geophysics,https://www.durham.ac.uk/study/courses/geophysics-f665/
10007143,Durham University,F800,Geography,https://www.durham.ac.uk/study/courses/f800/
10007143,Durham University,FF3N,Physics and Astronomy,https://www.durham.ac.uk/study/courses/ff3n/
10007143,Durham University,FGC0,Natural Sciences,https://www.durham.ac.uk/study/courses/fgc0/
10007143,Durham University,G100,Mathematics,https://www.durham.ac.uk/study/courses/g100/
10007143,Durham University,G103,Mathematics,https://www.durham.ac.uk/study/courses/g103/
10007143,Durham University,G111,Mathematics with Statistics,https://www.durham.ac.uk/study/courses/g111/
10007143,Durham University,G114,Mathematics with Statistics,https://www.durham.ac.uk/study/courses/g114/
10007143,Durham University,G400,Computer Science,https://www.durham.ac.uk/study/courses/g400/
10007143,Durham University,G402,Computer Science,https://www.durham.ac.uk/study/courses/g402/
10007143,Durham University,G406,Computer Science,https://www.durham.ac.uk/study/courses/g406/
10007143,Durham University,H100,General Engineering,https://www.durham.ac.uk/study/courses/h100/
10007143,Durham University,H103,General Engineering,https://www.durham.ac.uk/study/courses/h103/
10007143,Durham University,H211,Engineering (Civil),https://www.durham.ac.uk/study/courses/h211/
10007143,Durham University,H214,Engineering (Civil),https://www.durham.ac.uk/study/courses/h214/
10007143,Durham University,H311,Engineering (Mechanical),https://www.durham.ac.uk/study/courses/h311/
10007143,Durham University,H314,Engineering (Mechanical),https://www.durham.ac.uk/study/courses/h314/
10007143,Durham University,H411,Engineering (Aeronautical),https://www.durham.ac.uk/study/courses/h411/
10007143,Durham University,H511,Engineering (Electrical),https://www.durham.ac.uk/study/courses/h511/
10007143,Durham University,H514,Engineering (Electrical),https://www.durham.ac.uk/study/courses/h514/
10007143,Durham University,H711,Engineering (Electronic),https://www.durham.ac.uk/study/courses/h711/
10007143,Durham University,H714,Engineering (Electronic),https://www.durham.ac.uk/study/courses/h714/
10007143,Durham University,H811,Engineering (Renewable Energy),https://www.durham.ac.uk/study/courses/h811/
10007143,Durham University,L100,Economics,https://www.durham.ac.uk/study/courses/business-school-courses/l100/
10007143,Durham University,L101,Economics,https://www.durham.ac.uk/study/courses/l101/
10007143,Durham University,L103,Economics with Management,https://www.durham.ac.uk/study/courses/business-school-courses/l103/
10007143,Durham University,L200,Politics,https://www.durham.ac.uk/study/courses/l200/
10007143,Durham University,L201,Politics,https://www.durham.ac.uk/study/courses/l201/
10007143,Durham University,L250,International Relations,https://www.durham.ac.uk/study/courses/l250/
10007143,Durham University,L253,Politics and International Relations,https://www.durham.ac.uk/study/courses/l253/
10007143,Durham University,L300,Sociology,https://www.durham.ac.uk/study/courses/l300/
10007143,Durham University,L301,Sociology,https://www.durham.ac.uk/study/courses/l301/
10007143,Durham University,L370,Criminology,https://www.durham.ac.uk/study/courses/l370/
10007143,Durham University,L372,Criminology,https://www.durham.ac.uk/study/courses/l372/
10007143,Durham University,L601,Anthropology,https://www.durham.ac.uk/study/courses/l601/
10007143,Durham University,L602,Anthropology,https://www.durham.ac.uk/study/courses/l602/
10007143,Durham University,L603,Anthropology,https://www.durham.ac.uk/study/courses/l603/
10007143,Durham University,L608,Anthropology,https://www.durham.ac.uk/study/courses/l608/
10007143,Durham University,L691,Health & Human Sciences,https://www.durham.ac.uk/study/courses/l691/
10007143,Durham University,L700,Geography,https://www.durham.ac.uk/study/courses/l700/
10007143,Durham University,L702,Geography,https://www.durham.ac.uk/study/courses/l702/
10007143,Durham University,LA00,Liberal Arts,https://www.durham.ac.uk/study/courses/la00/
10007143,Durham University,LA01,Liberal Arts,https://www.durham.ac.uk/study/courses/la01/
10007143,Durham University,LF64,Anthropology and Archaeology,https://www.durham.ac.uk/study/courses/lf64/
10007143,Durham University,LL12,Economics and Politics,https://www.durham.ac.uk/study/courses/business-school-courses/ll12/
10007143,Durham University,LL36,Anthropology and Sociology,https://www.durham.ac.uk/study/courses/ll36/
10007143,Durham University,LMV0,Combined Social Sciences,https://www.durham.ac.uk/study/courses/lmv0/
10007143,Durham University,LV00,Combined Social Sciences,https://www.durham.ac.uk/study/courses/lv00/
10007143,Durham University,LV25,Philosophy and Politics,https://www.durham.ac.uk/study/courses/lv25/
10007143,Durham University,M101,Law,https://www.durham.ac.uk/study/courses/m101/
10007143,Durham University,M102,Law,https://www.durham.ac.uk/study/courses/m102/
10007143,Durham University,N201,Business and Management,https://www.durham.ac.uk/study/courses/business-school-courses/n201/
10007143,Durham University,N209,Accounting and Management,https://www.durham.ac.uk/study/courses/n209/
10007143,Durham University,N305,Finance,https://www.durham.ac.uk/study/courses/business-school-courses/n305/
10007143,Durham University,N308,Finance,https://www.durham.ac.uk/study/courses/n308/
10007143,Durham University,N408,Accounting,https://www.durham.ac.uk/study/courses/business-school-courses/n408/
10007143,Durham University,N509,Marketing and Management,https://www.durham.ac.uk/study/courses/business-school-courses/n509/
10007143,Durham University,N512,Marketing & Management,https://www.durham.ac.uk/study/courses/n512/
10007143,Durham University,NN21,Business and Management,https://www.durham.ac.uk/study/courses/nn21/
10007143,Durham University,NN43,Accounting and Finance,https://www.durham.ac.uk/study/courses/business-school-courses/nn43/
10007143,Durham University,NN4H,Accounting and Finance,https://www.durham.ac.uk/study/courses/nn4h/
10007143,Durham University,Q300,English Literature,https://www.durham.ac.uk/study/courses/q300/
10007143,Durham University,Q301,English,https://www.durham.ac.uk/study/courses/q301/
10007143,Durham University,Q801,Classics,https://www.durham.ac.uk/study/courses/q801/
10007143,Durham University,Q805,Classics,https://www.durham.ac.uk/study/courses/q805/
10007143,Durham University,Q820,Classical Civilisation,https://www.durham.ac.uk/study/courses/q820/
10007143,Durham University,QV21,English Literature and History,https://www.durham.ac.uk/study/courses/qv21/
10007143,Durham University,QV35,English Literature and Philosophy,https://www.durham.ac.uk/study/courses/qv35/
10007143,Durham University,R002,Modern Languages and Culture,https://www.durham.ac.uk/study/courses/r002/
10007143,Durham University,RV91,Modern European Languages and History,https://www.durham.ac.uk/study/courses/rv92/
10007143,Durham University,T102,Chinese Studies,https://www.durham.ac.uk/study/courses/t102/
10007143,Durham University,T103,Chinese Studies,https://www.durham.ac.uk/study/courses/t103/
10007143,Durham University,T202,Japanese Studies,https://www.durham.ac.uk/study/courses/t202/
10007143,Durham University,V100,History,https://www.durham.ac.uk/study/courses/v100/
10007143,Durham University,V101,"Ancient, Medieval and Modern History",https://www.durham.ac.uk/study/courses/v101/
10007143,Durham University,V102,History,https://www.durham.ac.uk/study/courses/v102/
10007143,Durham University,V110,Ancient History,https://www.durham.ac.uk/study/courses/v110/
10007143,Durham University,V400,Archaeology,https://www.durham.ac.uk/study/courses/v400/
10007143,Durham University,V500,Philosophy,https://www.durham.ac.uk/study/courses/v500/
10007143,Durham University,V501,Philosophy,https://www.durham.ac.uk/study/courses/v501/
10007143,Durham University,V614,Theology & Religion,https://www.dur.ac.uk/courses/info/?id=26464&title=Theology+and+Religion&code=V614&type=BA&year=2021
10007143,Durham University,V616,Theology and Religion,https://www.durham.ac.uk/study/courses/v616/
10007143,Durham University,V617,"Religion, Society and Culture",https://www.durham.ac.uk/study/courses/v617/
10007143,Durham University,VA01,Visual Arts and Film,https://www.durham.ac.uk/study/courses/va01/
10007143,Durham University,VF14,Ancient History and Archaeology,https://www.durham.ac.uk/study/courses/vf14/
10007143,Durham University,VL52,"Philosophy, Politics and Economics",https://www.durham.ac.uk/study/courses/vl52/
10007143,Durham University,VQ48,Archaeology and Ancient Civilisations,https://www.durham.ac.uk/study/courses/vq48/
10007143,Durham University,VV56,Philosophy and Theology,https://www.durham.ac.uk/study/courses/vv56/
10007143,Durham University,W300,Music,https://www.durham.ac.uk/study/courses/w300/
10007143,Durham University,W301,Music,https://www.durham.ac.uk/study/courses/w301/
10007143,Durham University,WV53,Music and Philosophy,https://www.durham.ac.uk/study/courses/wv53/
10007143,Durham University,X101,Primary Education,https://www.durham.ac.uk/study/courses/x101/
10007143,Durham University,X120,Primary Education,https://www.durham.ac.uk/study/courses/x120/
10007143,Durham University,X1C8,Education Studies - Psychology,https://www.durham.ac.uk/study/courses/x1c8/
10007143,Durham University,X1F8,Education Studies - Geography,https://www.durham.ac.uk/study/courses/x1f8/
10007143,Durham University,X301,Education Studies,https://www.durham.ac.uk/study/courses/x301/
10007143,Durham University,X305,Education Studies,https://www.durham.ac.uk/study/courses/x305/
10007143,Durham University,XL33,Education Studies - Sociology,https://www.durham.ac.uk/study/courses/xl33/
